last_name,__last_seen,third_name,updated_at,father_name,id,first_name,title,source,program,type,function,listed_at,name,url,gender,summary,second_name,__first_seen
,05:05.5,AL-BAGHDADI,3/26/15,,un-sc-sanctions.690730,ABDULQADER,Dr,un-sc-sanctions,Libya (LYi.001),individual,"Head of the Liaison Office of the Revolutionary
            Committees",2/26/11,ABDULQADER MOHAMMED AL-BAGHDADI,,,"Listed pursuant to paragraph 15 of resolution 1970 (Travel Ban). Believed
            status/location: deceased. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5519275",MOHAMMED,32:53.9
,05:07.7,TILFAH,,,un-sc-sanctions.6908054,HANI,,un-sc-sanctions,Iraq (IQi.007),individual,,6/27/03,هاني عبد اللطيف طلفاح التكريتي,,,,ABD-AL-LATIF,33:04.2
,05:05.1,AL-AWADI,,,un-sc-sanctions.6908100,QAID,,un-sc-sanctions,Iraq (IQi.053),individual,,6/27/03,قائد حسين العوادي,,,,HUSSEIN,33:13.6
,05:05.6,AL-BARASSI,4/1/16,,un-sc-sanctions.690780,SAFIA,,un-sc-sanctions,Libya (LYi.019),individual,,6/24/11,SAFIA FARKASH AL-BARASSI,,,"Listed pursuant to paragraph 15 of resolution 1970 and paragraph 19 of
            resolution 1973 (Travel Ban, Asset Freeze). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5526015",FARKASH,32:58.7
,05:06.9,ABD-AL-SATTAR,,,un-sc-sanctions.6908078,ZUHAIR,,un-sc-sanctions,Iraq (IQi.031),individual,,6/27/03,زهير طالب عبد الستار النقيب,,,,TALIB,33:01.4
,05:05.7,BEN HAMDA,12/20/05,,un-sc-sanctions.111784,IMAD,,un-sc-sanctions,Al-Qaida (QDi.176),individual,,6/23/04,عماد بن البشير بن حمدا الجمالي,,,"Italian Fiscal Code: JMM MDI 68A25 Z352D. Italian Judicial Authorities have issued a warrant of arrest against him, which had not been executed as of Sep. 2007. Imprisoned in Sousse Prison on 28 Jul. 2002 and sentenced to 10 years of imprisonment and administrative supervision. Released on 31 Jan. 2011 under a general amnesty. Mother’s name is Jamilah. Review pursuant to Security Council resolution 1822 (2008) was concluded on 9 Apr. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1272790",BEN BECHIR,33:00.3
,05:06.0,IRHAYYIM,,,un-sc-sanctions.6908659,UMAR,,un-sc-sanctions,Al-Qaida (QDi.412),individual,,3/6/18,عمر محمود إرحيم الفياض الكبيسي,,,"Financial facilitator for Islamic State in Iraq and the Levant, listed as Al-Qaida in Iraq (QDe.115). Director of Al-Kawthar Money Exchange (QDe.157). Physical description: sex: male, hair colour: black; height: 175 cm. Speaks Arabic. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/6202733",MAHMUD,33:00.3
,05:11.0,,,,un-sc-sanctions.6908536,SALIM,,un-sc-sanctions,Al-Qaida (QDi.388),individual,,2/29/16,SALIM BENGHALEM,,,"Syria-based French violent extremist and member of Islamic State in Iraq and the Levant, listed as Al-Qaida in Iraq (QDe.115). Subject to a European Arrest Warrant. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5930707",BENGHALEM,33:08.1
,05:05.1,HAMD,11/26/04,,un-sc-sanctions.111763,KHALID,,un-sc-sanctions,Al-Qaida (QDi.059),individual,,4/24/02,خالد عبد الرحمن حمد الفواز,,,"Extradited from the United Kingdom to the United States of America on 5
            Oct. 2012. Review pursuant to Security Council resolution 1822 (2008) was concluded on
            22 Apr. 2010.. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1423210",ABD AL-RAHMAN,32:59.4
,05:08.0,ABD-AL-GHAFUR SULAIMAN,,,un-sc-sanctions.6908068,RUKAN,,un-sc-sanctions,Iraq (IQi.021),individual,,6/27/03,روكان رزوقي عبد الغفار سليمان التكريتي,,,,RAZUKI,33:02.3
,05:12.0,,,,un-sc-sanctions.6908515,YU,,un-sc-sanctions,DPRK (KPi.028),individual,"Director of the National Aerospace Development Administration
            ",3/2/16,YU CHOL U,,,,CHOL U ,33:09.0
,05:04.7,AL HAKIM,11/20/14,,un-sc-sanctions.6908435,ABDULLAH,,un-sc-sanctions,Yemen (YEi.002),individual,Huthi group second-in-command,11/7/14,عبد الله يحيى الحاكم,,,Gender [Male]. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5837273,YAHYA,32:54.7
,05:04.9,AL-ANI,,,un-sc-sanctions.6908123,ADIB,,un-sc-sanctions,Iraq (IQi.076),individual,,6/2/04,أديب شعبـان العانــي,,,,SHABAN,32:53.9
,05:06.7,,,,un-sc-sanctions.6908093,SAIF-AL-DIN,,un-sc-sanctions,Iraq (IQi.046),individual,,6/27/03,سيف الدين المشهداني,,,,AL-MASHHADANI,33:02.1
,05:05.4,BEN OMAR,12/20/05,,un-sc-sanctions.111835,SAID,,un-sc-sanctions,Al-Qaida (QDi.138),individual,,11/12/03,سعيد بن عبد الحكيم بن عمر الشريف,,,"Mother's name is Radhiyah Makki. Sentenced to eight years and ten months
            of imprisonment for membership of a terrorist association by the Appeal Court of Milan,
            Italy, on 7 Feb. 2008. Sentence confirmed by the Italian Supreme Court on 15 Jan. 2009,
            which became definitive as of Feb. 2008. Subject to expulsion from Italy to Tunisia
            after serving the sentence. Review pursuant to Security Council resolution 1822 (2008)
            was concluded on 6 May 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1418798",BEN ABDELHAKIM,33:13.9
,05:04.6,IBRAHIM,,,un-sc-sanctions.6908075,HIKMAT,,un-sc-sanctions,Iraq (IQi.028),individual,,6/27/03,حكمت مزبان إبراهيم العزاوي,,,,MIZBAN,32:58.5
,05:05.0,QUREN,3/26/15,,un-sc-sanctions.690736,QUREN,,un-sc-sanctions,Libya (LYi.004),individual,Libyan Ambassador to Chad,3/17/11,QUREN SALIH QUREN,,,"Listed pursuant to paragraph 15 of resolution 1970 (Travel
            Ban).",SALIH,32:52.7
,05:05.9,AMOHAMED,12/13/11,,un-sc-sanctions.2786246,SALEM,,un-sc-sanctions,Al-Qaida (QDi.231),individual,,6/8/07,سالم نور الدين امحمد الدبيسكي,,,"Mother's name is Kalthoum Abdul Salam al-Shaftari. Senior member of
            Libyan Islamic Fighting Group (QDe.011) and member of Al-Qaida (QDe.004). Review
            pursuant to Security Council resolution 1822 (2008) was concluded on 24 Nov.
            2009. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1480002",NOR ELDIN,32:56.0
,05:07.2,SULAIMAN MAJID,,,un-sc-sanctions.6908058,BARZAN,,un-sc-sanctions,Iraq (IQi.011),individual,,6/27/03,برزان عبد الغفور سليمان مجيد التكريتي,,,,ABD AL-GHAFUR,33:04.0
,05:05.8,RAMADAN,,,un-sc-sanctions.6908067,TAHA,,un-sc-sanctions,Iraq (IQi.020),individual,,6/27/03,طه ياسين رمضان الجزراوي,,,,YASSIN,33:01.3
,05:06.0,AHMED,12/20/05,,un-sc-sanctions.111785,HABIB,,un-sc-sanctions,Al-Qaida (QDi.177),individual,,6/23/04,حبيب بن احمد اللوبيري,,,Italian Fiscal Code: LBR HBB 61S17 Z352F. In detention in Tunisia as at Dec. 2009. Mother’s name is Fatima al-Galasi. Review pursuant to Security Council resolution 1822 (2008) was concluded on 9 Apr. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1418944,BEN,33:01.0
,05:08.0,AL-SALIH,,,un-sc-sanctions.6908082,MUHAMMAD,,un-sc-sanctions,Iraq (IQi.035),individual,,6/27/03,محمد مهدي الصالح,,,,MAHDI,33:03.2
,05:14.2,IBRAHIM,,,un-sc-sanctions.6908111,ALI,,un-sc-sanctions,Iraq (IQi.064),individual,,4/7/04,علي برزان إبراهيم حسن التكريتي,,,,BARZAN,33:15.4
,05:05.6,BEN BELKASSEM,12/20/05,,un-sc-sanctions.111837,NOUREDDINE,,un-sc-sanctions,Al-Qaida (QDi.149),individual,,11/12/03,نور الدين بن علي بن بلقاسم الدريسي,,,"Under administrative control measure in Italy until 5 May 2010.
            Inadmissible to the Schengen area. Mother’s name is Khadijah al-Drissi. Review pursuant
            to Security Council resolution 1822 (2008) was concluded on 22 Apr. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1418845",BEN ALI,32:59.1
,05:14.1,,,,un-sc-sanctions.6908452,MAULANA,,un-sc-sanctions,Al-Qaida (QDi.352),individual,,2015-04-07-04:00,MAULANA FAZLULLAH,,,"Commander of Tehrik-e Taliban Pakistan (TTP) (QDe.132) since 7 Nov. 2013.
            Led the local TTP in Pakistan’s northwest valley of Swat from 2007 to 2009. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5859726",FAZLULLAH,33:09.8
,05:06.0,AL-DURI,,,un-sc-sanctions.6908053,IZZAT,,un-sc-sanctions,Iraq (IQi.006),individual,,6/27/03,عزت ابراهيم الدوري,,,,IBRAHIM,32:59.0
,05:06.2,HAMAD,,,un-sc-sanctions.6908401,IBRAHIM,,un-sc-sanctions,Al-Qaida (QDi.332),individual,,9/23/14,IBRAHIM SULEIMAN HAMAD,,,"Explosives expert and operative for the Abdallah Azzam Brigades (AAB)
            (QDe.144). Wanted by the Saudi Arabian Government for terrorism. Physical description:
            eye colour: dark; hair colour: dark; complexion: olive. Speaks Arabic. Photo available
            for inclusion in the INTERPOL-UN Security Council Special Notice. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5817981",SULEIMAN,32:58.9
,05:06.6,AL-MUHAMMAD,,,un-sc-sanctions.6908101,KHAMIS,,un-sc-sanctions,Iraq (IQi.054),individual,,6/27/03,خميس سرحان المحمد,,,,SIRHAN,33:02.6
,05:08.6,,,,un-sc-sanctions.6908118,INTISSAR,,un-sc-sanctions,Iraq (IQi.071),individual,,4/7/04,انتصار العبيدي,,,,AL-UBAYDI,33:03.9
,05:06.2,,8/26/16,,un-sc-sanctions.6908455,ABDULMALIK,,un-sc-sanctions,Yemen (YEi.004),individual,,2015-04-14-04:00,ABDULMALIK AL-HOUTHI,,,"Leader of Yemen's Houthi Movement. Has engaged in acts that threaten the
            peace, security, or stability of Yemen.",AL-HOUTHI,33:14.5
,05:06.4,MUSTAFA,,,un-sc-sanctions.6908419,‘ABD AL-RAHMAN,,un-sc-sanctions,Al-Qaida (QDi.339),individual,,9/23/14,‘ABD AL-RAHMAN MUHAMMAD MUSTAFA,,,"Senior Islamic State in Iraq and the Levant (ISIL), listed as Al-Qaida in
            Iraq (AQI) (QDe.115), official. Previously served as a representative of AQI to Al-Qaida
            (QDe.004) senior leadership in Pakistan. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5818223",MUHAMMAD,33:01.6
,05:07.0,AHMAD,,,un-sc-sanctions.6908074,SULTAN,,un-sc-sanctions,Iraq (IQi.027),individual,,6/27/03,سلطان هاشم أحمد الطائي,,,,HASHIM,33:02.0
,05:06.4,,6/2/14,,un-sc-sanctions.3020633,ABU MOHAMMED,,un-sc-sanctions,Al-Qaida (QDi.317),individual,,7/24/13,أبو محمد الجولاني,,,"Description: Dark complexion. Height: 1.70 m. Since Jan. 2012, he is the Leader of Al-Nusrah Front for the People of the Levant (QDe.137), a Syria-based group listed in May 2014, and previously listed as an alias of Al-Qaida in Iraq (AQI) (QDe.115) between 30 May 2013 and 13 May 2014. Associated with Aiman Muhammed Rabi al-Zawahiri (QDi.006). Wanted by the Iraqi security forces. Photo available for inclusion in the INTERPOL-UN Security Council Special Notice. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5513535",AL-JAWLANI,33:01.0
,05:07.9,BIN ALI,,,un-sc-sanctions.6908542,FAYSAL,,un-sc-sanctions,Al-Qaida (QDi.392),individual,,4/20/16,فيصل احمد بن علي الزهراني,,,"Was the lead oil and gas division official of Islamic State in Iraq and the Levant (ISIL), listed as Al-Qaida in Iraq (QDe.115), for Al Barakah Governorate, Syrian Arab Republic, as of May 2015. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5943051",AHMAD,33:04.5
,05:06.4,ABDALLAH,,,un-sc-sanctions.6908087,ABD-AL-BAQI,,un-sc-sanctions,Iraq (IQi.040),individual,,6/27/03,عبد الباقي عبد الكريم عبد الله السعدون,,,,ABD-AL-KARIM,33:03.6
,05:06.8,TURKI,1/25/10,,un-sc-sanctions.2827659,KHALIFA,,un-sc-sanctions,Al-Qaida (QDi.253),individual,,10/10/08,خليفة محمد تركي السبيعي,,,"Qatar-based terrorist financier and facilitator who has provided
            financial support to, and acted on behalf of, the senior leadership of Al-Qaida
            (QDe.004), including moving recruits to Al-Qaida training camps in South Asia. In Jan.
            2008, convicted in absentia by the Bahraini High Criminal Court for financing terrorism,
            undergoing terrorist training, facilitating the travel of others to receive terrorist
            training abroad, and for membership in a terrorist organization. Arrested in Qatar in
            Mar. 2008. Served his sentence in Qatar and has been released from detention. Mother’s
            name is Hamdah Ahmad Haidoos. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5834918",MUHAMMAD,33:02.0
,05:09.4,RABI,7/2/07,,un-sc-sanctions.111923,AIMAN,Doctor,un-sc-sanctions,Al-Qaida (QDi.006),individual,,1/25/01,أيمن محمد ربيع الظواهري,,,"Leader of Al-Qaida (QDe.004). Former operational and military leader of
            Egyptian Islamic Jihad (QDe.003), was a close associate of Usama Bin Laden (deceased).
            Believed to be in the Afghanistan/Pakistan border area. Review pursuant to Security
            Council resolution 1822 (2008) was concluded on 21 Jun. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4487197",MUHAMMED,33:04.9
,05:06.4,ZUREIK,,,un-sc-sanctions.6908408,AZZAM,,un-sc-sanctions,Al-Qaida (QDi.330),individual,,9/23/14,AZZAM ABDULLAH ZUREIK,,,"Has ties to numerous senior Al-Qaida (QDe.004) leaders. Wanted by the
            Saudi Arabian Government for terrorism. Father's name is Abdullah Razeeq al Mouled al
            Sbhua. Physical description: eye colour: dark; hair colour: dark; complexion: dark.
            Speaks Arabic. Photo available for inclusion in the INTERPOL-UN Security Council Special
            Notice. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5817930",ABDULLAH,33:02.1
,05:07.1,AMEEN,7/24/13,,un-sc-sanctions.2863393,FAZEEL-A-TUL,,un-sc-sanctions,Al-Qaida (QDi.273),individual,,6/29/09,FAZEEL-A-TUL SHAYKH ABU MOHAMMED AMEEN,,,"Associated with Al-Qaida (QDe.004). Head of Ganj madrasa, a.k.a. Madrasa
            Jamia Taleemul Quran wal Hadith, a.k.a. Madrasa Taleemul Quran wal Sunnah, located at
            the Ganj Gate, Phandu Road, Peshawar, Pakistan. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1578086",SHAYKH ABU MOHAMMED,33:16.7
,05:06.5,ABD-AL RAHIM AHMAD,,,un-sc-sanctions.3026942,MUHAMMAD,,un-sc-sanctions,Al-Qaida (QDi.318),individual,,10/21/13,محمد جمال عبدالرحيم أحمد الكاشف,,,"Trained in Afghanistan in the late 1980s with Al-Qaida (QDe.004) to make
            bombs. Former top military commander of the Egyptian Islamic Jihad (QDe.003). Since
            2011, established Muhammad Jamal Network (MJN) (QDe.136) and terrorist training camps in
            Egypt and Libya. Conducted MJN’s terrorist activities with support from Al-Qaida in the
            Arabian Peninsula (AQAP) (QDe.129). Reported to be involved in the attack on the United
            States Mission in Benghazi, Libya, on 11 Sep. 2012. Headed Nasr City terrorist cell in
            Egypt in 2012. Linked to Aiman al-Zawahiri (QDi.006) and the leadership of AQAP and the
            Organization of Al-Qaida in the Islamic Maghreb (AQIM) (QDe.014). Arrested and
            imprisoned multiple times by Egyptian authorities since ca. 2000. Released in 2011 but
            re-arrested by Egyptian authorities in Nov. 2012. Imprisoned in Egypt pending trial as
            of Sep. 2013. Wife’s name is Samah ‘Ali Al-Dahabani (Yemeni national). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5719795",JAMAL,33:14.8
,05:15.9,,,,un-sc-sanctions.6908614,HAN ,,un-sc-sanctions,DPRK (KPi.055),individual,Chief Representative of the Foreign Trade Bank,8/5/17,HAN JANG SU,,,Gender: male,JANG SU ,33:15.7
,05:06.0,BEN AL-TOUMI,11/26/04,,un-sc-sanctions.111920,TAREK,,un-sc-sanctions,Al-Qaida (QDi.074),individual,,9/3/02,طارق بن الحبيب بن التومي المعروفي,,,"Belgian nationality withdrawn on 26 Jan. 2009. In detention in Nivelles,
            Belgium, as of Oct. 2010. Review pursuant to Security Council resolution 1822 (2008) was
            concluded on 8 Jun. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1418920",BEN HABIB,33:01.9
,05:06.9,,,,un-sc-sanctions.6908530,MUHANNAD,,un-sc-sanctions,Al-Qaida (QDi.377),individual,,2/29/16,MUHANNAD AL-NAJDI,,,Syria-based Al-Qaida (QDe.004) facilitator. Involved in the development of improvised explosive devices for use in Afghanistan and Syrian Arab Republic since at least 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5930722,AL-NAJDI,33:01.4
,05:07.2,MAHDI,4/15/14,,un-sc-sanctions.2903810,QASIM,,un-sc-sanctions,Al-Qaida (QDi.282),individual,,5/11/10,قاسم محمد مهدي الريمي,,,"Mother’s name: Fatima Muthanna Yahya. Photo available for inclusion in the INTERPOL-UN Security Council Special Notice. Leader of Al-Qaida in the Arabian Peninsula (QDe.129) since Jun. 2015, pledged loyalty to Aiman al-Zawahiri (QDi.006).  INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4470245",MOHAMED,33:02.2
,05:07.1,AL-DARI,12/10/15,,un-sc-sanctions.2894441,MUTHANNA,Doctor,un-sc-sanctions,Al-Qaida (QDi.278),individual,,3/25/10,مثنى حارث الضاري,,,"Mother’s name: Heba Khamis Dari. Provided operational guidance financial support and other services to or in support of Islamic State in Iraq and the Levant, listed as Al-Qaida in Iraq (AQI) (QDe.115). Involved in oil smuggling. Wanted by the Iraqi security forces. Photo available for inclusion in the INTERPOL-UN Security Council Special Notice. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1605628",HARITH,32:59.4
,05:07.9,AL-NAJIM,,,un-sc-sanctions.6908089,SAMIR,,un-sc-sanctions,Iraq (IQi.042),individual,,6/27/03,سمير عبد العزيز النجم,,,,ABD AL-AZIZ,33:16.3
,05:09.8,,9/3/03,,un-sc-sanctions.111182,HAMDULLAH,Maulavi,un-sc-sanctions,Taliban (TAi.143),individual,"Repatriation Attache, Taliban Consulate General, Quetta,
            Pakistan",1/25/01,حمد الله الله نور,,,"Believed to be in Afghanistan/Pakistan border area. Belongs to Baloch
            ethnic group. Review pursuant to Security Council resolution 1822 (2008) was concluded
            on 21 Jul. 2010. Additional title: Hafiz. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4665093",ALLAH NOOR,33:04.9
,05:07.2,SALIH MUHAMMAD,,,un-sc-sanctions.6908470,ABD AL-LATIF,,un-sc-sanctions,Al-Qaida (QDi.380),individual,,9/21/15,عبداللطیف بن عبدلله صالح محمد الكواري,,,"Qatar-based facilitator who provides financial services to, or in support of, Al-Qaida (QDe.004). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5896805",BIN ABDALLAH,33:01.3
,05:10.7,,,,un-sc-sanctions.111942,BILAL,,un-sc-sanctions,Al-Qaida (QDi.009),individual,,1/25/01,بلال بن مروان,,,"Senior lieutenant of UBL. Review pursuant to Security Council resolution
            1822 (2008) was concluded on 21 Jun. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1423806",BIN MARWAN,33:08.5
,05:22.2,,,,un-sc-sanctions.6908107,SAMIRA,,un-sc-sanctions,Iraq (IQi.060),individual,,4/7/04,سميرة الشاهبندر,,,,SHAHBANDAR,33:22.4
,05:07.3,AL-HASRI ,,,un-sc-sanctions.6908575,BASSAM,,un-sc-sanctions,Al-Qaida (QDi.399),individual,,2/22/17,بسام أحمد الحصري,,,Leader of Al-Nusrah Front for the People of the Levant (QDe.137) for southern Syrian Arab Republic since July 2016. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/6013284,AHMAD ,33:00.8
